1223.3045686 [1715151025.259, 54.0, 0.0, -169.021, -7.078, -3.816, -22.438, -7.46, -5.213, -205.403, -143.951, -105.908, 0.0, 0.0]
1223.3123811 [1715151025.2667, 55.0, 0.0, -181.147, 10.86, 0.799, -13.706, -5.403, -9.818, -237.473, -157.127, -124.758, 0.0, 0.0]
1223.3201936 [1715151025.2745, 56.0, 0.0, -168.671, 19.046, 5.921, 10.386, 6.898, -4.173, -204.448, -139.039, -100.042, 0.0, 0.0]
1223.3280061 [1715151025.2822, 57.0, 0.0, -148.522, 8.268, 6.427, 15.499, 6.379, 4.54, -171.455, -114.821, -67.154, 0.0, 0.0]
1223.3358186 [1715151025.29, 58.0, 0.0, -148.886, 0.063, 0.786, 11.385, 7.397, 8.634, -173.333, -113.682, -67.6, 0.0, 0.0]
1223.3436311 [1715151025.2977, 59.0, 0.0, -170.766, -2.499, -5.875, -1.946, 4.828, 3.502, -205.435, -134.061, -99.807, 0.0, 0.0]
1223.3514436 [1715151025.3055, 60.0, 0.0, -190.576, -8.131, -8.943, -20.387, -11.059, -1.624, -237.505, -149.808, -117.638, 0.0, 0.0]
1223.3592561 [1715151025.3133, 61.0, 0.0, -178.09, -6.074, -4.323, -13.195, -9.511, -0.086, -204.48, -140.437, -101.127, 0.0, 0.0]
1223.3670686 [1715151025.3211, 62.0, 0.0, -145.124, 7.252, 4.902, 8.848, 6.893, 4.013, -171.488, -114.169, -68.238, 0.0, 0.0]
1223.3748811 [1715151025.3288, 63.0, 0.0, -130.634, 7.757, 5.922, 1.667, 4.837, 11.181, -138.529, -99.71, -37.944, 0.0, 0.0]
1223.3826936 [1715151025.3367, 64.0, 0.0, -155.094, -8.645, -3.818, -17.803, -4.902, 14.244, -170.666, -110.881, -55.836, 0.0, 0.0]
1223.3905061 [1715151025.3445, 65.0, 0.0, -178.505, -21.956, -12.523, -14.199, -3.872, 5.52, -202.77, -134.336, -88.056, 0.0, 0.0]
